Time,Crypto,Buying_Price_of_Nexus,Selling_Price_of_Nexus,Price_of_Stock
11/06/2024,8245.08,1351.45,1354.53,139.243778
11/07/2024,8319.876566,1348.6,1354.78,141.0596985
11/08/2024,8343.455,1336.75,1340.17,138.14872
11/09/2024,8068.02,,,
11/10/2024,8597.7675,,,
11/11/2024,9334.633333,1321.65,1323.45,139.7252348
11/12/2024,9471.64,1320.7,1323.71,141.7989463
11/13/24,10127.16167,1321.5,1327.84,138.7144275
11/14/24,10841.99167,1313.2,1319.51,134.5902608
11/15/24,11085.83,1307.1,1311.41,138.1428914
11/16/24,11110.965,,,
11/17/24,11390.39167,,,
11/18/24,11245.98,1309.4,1312.25,141.5266705
11/19/24,9931.071667,1306.6,1309.62,141.9254154
11/20/24,10162.11667,1313.85,1318.7,145.3853233
11/21/24,10171.3,1318.8,1324.09,145.6545889
11/22/24,9696.593333,1324.35,1329.87,151.8590742
11/23/24,10348.60333,,,
11/24/24,10319.46,,,
11/25/24,10370.165,1291.25,1295.09,159.8142016
11/26/24,11009.38167,1289.5,1291.09,161.9713422
11/27/24,10931.12,1288.3,1292.42,166.5494148
11/28/24,11326.94833,1288.35,1291.91,163.447785
11/29/24,11430.18167,1293.05,1298.93,165.788787
11/30/24,11516.83,,,
12/01/2024,10763.19833,,,
12/02/2024,10118.058,1303.5,1305.55,159.8991238
12/03/2024,9920.46,1295.5,1300.74,153.5856661
12/04/2024,9089.278333,1300.7,1305.22,152.8367503
12/05/2024,8746.002,1305.35,1307.18,155.1234428
12/06/2024,8777.37,1294.6,1296.33,159.9351381
12/07/2024,9182.843333,,,
12/08/2024,9154.7,,,
12/09/2024,9153.54,1300.1,1305.67,161.2120411
12/10/2024,8358.121667,1297.25,1302.21,155.8903499
12/11/2024,8530.402,1298.25,1299.97,155.7951372
12/12/2024,8297.89,1299.6,1301.34,157.0749736
12/13/24,8171.415,1298.65,1305.07,157.0508024
12/14/24,8412.033333,,,
12/15/24,8605.64,,,
12/16/24,8947.753333,1285.25,1290.71,146.7673532
12/17/24,8690.408333,1281.55,1287.69,148.8206892
12/18/24,8725.37,1276.15,1282.46,149.9908239
12/19/24,8662.378333,1274.2,1279.31,147.2713086
12/20/24,8617.296667,1266.15,1269.32,145.8384036
12/21/24,8457.96,,,
12/22/24,7876.195,,,
12/23/24,7960.38,1260.3,1264.38,145.5710346
12/24/24,7950.61,1254.6,1257.98,142.8006579
12/25/24,6882.531667,1251.55,1257.34,144.3196437
12/26/24,6935.48,1250.45,1252.26,142.8686155
12/27/24,6937.56,1247.8,1251.51,140.6912789
12/28/24,7035.848333,,,
12/29/24,7410.435,,,
12/30/24,7426.48,1255.5,1257.04,136.2034248
12/31/24,6826.51,1255.35,1257.2,133.0456072
01/01/2025,6603.876667,1262.05,1263.91,138.4468481
01/02/2025,6634.68,1254,1258.51,138.6138146
01/03/2025,7017.656667,1251.4,1256.39,136.7558534
01/04/2025,6699.273333,,,
01/05/2025,6784.41,,,
01/06/2025,6926.266667,1241.1,1244.2,136.6346929
01/07/2025,7847.845,1232.8,1235.44,138.3925516
01/08/2025,7941.46,1224.5,1229.98,140.5754532
01/09/2025,8036.511051,1217.55,1219.86,139.1613922
01/10/2025,8340.748333,1228.75,1234.71,137.636753
01/11/2025,8368.1,,,
01/12/2025,7895.416926,,,
01/13/25,8164.937426,1231.5,1232.94,127.0111289
01/14/25,8175.96,1228.25,1233.86,130.5964712
01/15/25,8852.718333,1223.95,1227.76,135.0319681
01/16/25,8807.205,1223.8,1229.88,134.428281
01/17/25,8930.6,1220.95,1222.53,136.0553747
01/18/25,8933.861667,,,
01/19/25,9555.542,,,
01/20/25,9658.11,1216.3,1220.06,149.1207063
01/21/25,9258.398333,1209.65,1213.91,148.8140791
01/22/25,9010.32,1212.35,1216.94,146.0701413
01/23/25,8928.55,1209.55,1212.96,141.5223988
01/24/25,9334.281667,1214.35,1218.61,142.1705329
01/25/25,9259.57,,,
01/26/25,9239.55,,,
01/27/25,9221.426,1197,1198.41,134.5618206
01/28/25,9639.268333,1182,1184.51,131.7482317
01/29/25,9753.35,1180.4,1186.07,136.3377958
01/30/25,9803.306667,1178.4,1183.77,138.832531
01/31/25,9630.136277,1184.35,1187.69,138.8798181
02/01/2025,9631.44,,,
02/02/2025,9228.608333,,,
02/03/2025,9322.041667,1192.35,1194.44,141.0380209
02/04/2025,9310.37,1197.7,1201.12,145.473216
02/05/2025,8468.788,1212.25,1215.18,147.123179
02/06/2025,8484.346667,1204.2,1208.22,144.1746288
02/07/2025,8463.52,1197.3,1198.87,143.6986634
02/08/2025,8652.038333,,,
02/09/2025,8511.458,,,
02/10/2025,8471.06,1190.85,1195.37,140.1304372
02/11/2025,8106.118333,1196.7,1200.46,145.6580885
02/12/2025,8240.055,1205.15,1207.85,141.7111264
02/13/25,8239.08,1198.9,1204,143.3873987
02/14/25,8507.406667,1196.6,1201.07,141.604392
02/15/25,8385.556187,,,
02/16/25,8396.63,,,
02/17/25,7555.74,1209.8,1214.99,136.4102646
02/18/25,7566.193333,1201.95,1207.72,136.6109942
02/19/25,7576.78,1201.9,1206.59,134.4266136
02/20/25,7342.908333,1200.2,1204.35,135.2233104
02/21/25,7361.831667,1203.3,1206.52,135.155072
02/22/25,7344.56,,,
02/23/25,7459.876667,,,
02/24/25,7385.395,1202.75,1204.17,130.7722342
02/25/25,7386.72,1201.9,1203.23,132.8293158
02/26/25,7535.146667,1194.25,1197.24,134.2338339
02/27/25,7645.146667,1185.4,1190.43,131.7007368
02/28/25,7637.14,1187.25,1193.13,132.0286374
03/01/2025,7500.273333,,,
03/02/2025,7615.722142,,,
03/03/2025,7619.43,1201.2,1204.23,131.2397351
03/04/2025,7676.271667,1203.45,1209.32,129.5767299
03/05/2025,7620.153333,1203.8,1209.06,131.1294742
03/06/2025,7615.54,1186.95,1192.12,129.2075473
03/07/2025,6776.888333,1185.55,1188.96,124.6889658
03/08/2025,6875.678333,,,
03/09/2025,6879.31,,,
03/10/2025,6315.7,1219.75,1221.24,121.6231906
03/11/2025,6647.013333,1229.95,1235.43,119.5029827
03/12/2025,6637.41,1230.7,1235.93,121.0995797
03/13/25,6509.426667,1229.05,1235.19,117.2001056
03/14/25,6464.411667,1223,1229.1,117.1038541
03/15/25,6445.79,,,
03/16/25,6737,,,
03/17/25,6714.718333,1235.95,1241.86,113.0977071
03/18/25,6760.83,1230.55,1235.96,111.2237394
03/19/25,6332.573333,1230.8,1233.25,110.4267861
03/20/25,6141.605833,1233.85,1237.31,112.7280846
03/21/25,6170.46,1230.8,1232.67,111.4906522
03/22/25,6211.4475,,,
03/23/25,6218.595,,,
03/24/25,6097.46,1231.15,1233.51,112.1858128
03/25/25,6107.896154,1232.1,1236.64,115.5251103
03/26/25,5908.7025,1232.25,1236.53,110.0082124
03/27/25,6223.28,1231.6,1234.6,108.322958
03/28/25,6374.754167,1229.95,1231.74,109.6352075
03/29/25,6466.069167,,,
03/30/25,6626.44,,,
03/31/25,6593.289167,1205.55,1210.48,108.846743
04/01/2025,6603.376667,1202.1,1205.8,109.0899379
04/02/2025,6555.51,1203.25,1208.55,108.8051988
04/03/2025,6594.281667,1211.85,1215.74,111.4320243
04/04/2025,6753.559167,1222.4,1226.37,112.0564962
04/05/2025,6724.04,,,
04/06/2025,6510.791667,,,
04/07/2025,6377.363333,1226.1,1227.98,110.9706291
04/08/2025,6403.18,1227.05,1228.42,110.0697659
04/09/2025,6244.3575,1223.65,1228.57,110.9970298
04/10/2025,6241,1223.4,1227.66,110.1214396
04/11/2025,6248.84,1221.2,1225.86,110.8168956
04/12/2025,6514.390833,,,
04/13/25,6869.910833,,,
04/14/25,7321.62,1217.55,1218.84,116.9550052
04/15/25,7396.401667,1230.3,1233.26,119.8587023
04/16/25,7428.045,1240.3,1244.47,118.9439128
04/17/25,7334.99,1235.9,1239.07,114.2500617
04/18/25,7451.289167,1242.55,1245.97,112.0256478
04/19/25,7689.884167,,,
04/20/25,7715.1,,,
04/21/25,8251.165,1245.3,1249.11,107.3559666
04/22/25,8187.324167,1245.75,1250.9,111.0720233
04/23/25,7939.81,1242.75,1245.96,111.8565668
04/24/25,8182.251667,1235.35,1239.66,111.4231802
04/25/25,8206.341667,1241.65,1247.17,113.3435529
04/26/25,8220.91,,,
04/27/25,7916.800833,,,
04/28/25,7570.869167,1259.75,1265.68,110.8114809
04/29/25,7607.7,1258.15,1261.88,107.6363765
04/30/25,7394.499167,,,110.1820219
05/01/2025,7247.769167,1268,1271.6,110.985956
05/02/2025,7011.28,1279,1285.29,110.1229989
05/03/2025,6988.079167,,,
05/04/2025,6993.513333,,,
05/05/2025,6718.23,1290.45,1295.01,117.3082085
05/06/2025,6396.7725,1279.9,1282.41,117.9509835
05/07/2025,6396.494667,1292.2,1293.88,116.9307555
05/08/2025,6138.96,1286.45,1288.4,115.017586
05/09/2025,6311.131667,1288.6,1290.55,117.002085
05/10/2025,6347.07,,,
05/11/2025,6252.13,,,
05/12/2025,6362.676923,1292.75,1297.36,114.2567666
05/13/25,6342.629231,1294.4,1296.64,115.4142524
05/14/25,6312.75,1292.3,1295.38,116.2451232
05/15/25,6436.720833,1290.7,1296.62,118.7418598
05/16/25,6404.063333,1284.2,1287.92,117.5955934
05/17/25,6486.58,,,
05/18/25,6401.246154,,,
05/19/25,6575.229167,1279.8,1282.06,113.8512675
05/20/25,6354.57,1283.7,1285.19,114.7710111
05/21/25,6543.645714,1293.9,1296.07,116.5801137
05/22/25,6719.429231,1302.15,1304.9,114.5069364
05/23/25,6738.27,1307.55,1309.78,116.5741463
05/24/25,6719.266154,,,
05/25/25,7000.04,,,
05/26/25,7078.19,1318.7,1322.45,125.5802368
05/27/25,6932.6625,1312.15,1314.55,123.7135864
05/28/25,6981.946154,1314.2,1317.43,120.732338
05/29/25,7018.78,1312.4,1316.36,116.5711257
05/30/25,7247.935385,1310,1314.93,120.1718131
05/31/25,7260.949231,,,
06/01/2025,7265.08,,,
06/02/2025,7113.069231,1310,1314.6,122.4860917
06/03/2025,6433.271667,1312.8,1314.54,119.8196512
06/04/2025,6501.19,1311.45,1317.34,125.8892743
06/05/2025,6366.1075,1316.55,1322.72,126.2781696
06/06/2025,6286.425833,1325.5,1327.15,126.6180487
06/07/2025,6240.98,,,
06/08/2025,6296.320833,,,
06/09/2025,6273.1375,1331.25,1336.57,130.4889126
06/10/2025,6326.04,1329.05,1331.36,128.5064083
06/11/2025,6499.0625,1331.05,1333.5,129.7887515
06/12/2025,6518.655,1325.05,1328.34,134.8345714
06/13/25,6522.39,1322.85,1326.74,138.5812826
